"code","term","definition","non-imdrf code/term","status","status description","codehierarchy","non-imdrf code","primary category","secondary category"
"A0716","Electrical Overstress","Problem associated with an electrical activity that exceeded the specified threshold limit of the internal integrated circuitry.","","","","A07|A0716",,,
"A0717","Electro-Static Discharge","Problem associated with the discharge of electricity between two bodies previously electrically charged.","","","","A07|A0717",,,
"A0718","Failure to Shut Off","Problem associated with the device not powering off when a shut down was requested.","","","","A07|A0718",,,
"A071801","Device Remains Activated","Problem associated with the device continuing to be in an active state after deactivation was requested.","","","","A07|A0718|A071801",,,
"A0719","Unexpected Shutdown","Problem associated with the device unexpectedly powering down.","","","","A07|A0719",,,
"A0720","Electromagnetic Compatibility Problem","Problem associated with the ability of a system to function in its electromagnetic environment without introducing intolerable disturbances to anything in its environment.","","","","A07|A0720",,,
"A072001","Electromagnetic Interference","Problem associated with a measure of electromagnetic radiation from equipment.","","","","A07|A0720|A072001",,,
"A072002","Radiofrequency Interference (RFI)","Problem associated with the degradation of the reception of a wanted signal caused by RF disturbance.","","","","A07|A0720|A072002",,,
"A0721","Circuit Failure","Problem associated with a failure of the internal network paths or electrical circuitry (i.e. electrical components, circuit boards, wiring)","","","","A07|A0721",,,
"A072101","Capacitative Coupling","Problem associated with the transfer of energy within an electrical network by means of the capacitance between circuit nodes. It occurs when energy is coupled from one circuit to another through an electric field.","","","","A07|A0721|A072101",,,
"A072102","Electrical Shorting","Problem associated with an electric current travelling along an accidental path (unintended path) in a circuit.","","","","A07|A0721|A072102",,,
"A072103","Intermittent Continuity","Problem associated with intermittent faults in electrical/electronic interconnections.","","","","A07|A0721|A072103",,,
"A0722","Impedance Problem","Problem associated with electrical impedance levels between device and patient connections.","","","","A07|A0722",,,
"A072201","High impedance","Problem associated with higher than intended electrical impedance levels between device and patient connections.","","","","A07|A0722|A072201",,,
"A072202","Low impedance","Problem associated with lower than intended electrical impedance levels between device and patient connections.","","","","A07|A0722|A072202",,,
"A08","Calibration Problem","Problem associated with the operation of the device, related to its accuracy, and associated with the calibration of the device.","","","","A08",,,
"A0801","Failure to Calibrate","Problem associated with the failure of the device to perform a self-calibration procedure or process designed to assure the accuracy and proper performance of the device.","","","","A08|A0801",,,
"A0802","Failure to Recalibrate","Problem associated with the failure of the device which is unable to regain a standard level of accuracy when performing a calibration procedure or process designed to assure the accuracy and proper performance of the device.","","","","A08|A0802",,,
"A0803","Imprecision","Problem associated with the device providing imprecise measurements when compared to a reference standard.","","","","A08|A0803",,,
"A0804","Overcorrection","Problem associated with an adjustment that surpasses a set of criteria.","","","","A08|A0804",,,
"A0805","Undercorrection","Problem associated with an adjustment that falls below a set of criteria.","","New","Term was added on 18 March 2020 as an additional level 2 term under ""Calibration Problem"".","A08|A0805",,,
"A09","Output Problem","Problem associated with any deviation from the documented specifications of the device that relate to the end result, data, or test results provided by the device.","","","","A09",,,
"A0901","Audible Prompt/Feedback Problem","Problem with any deviation from the documented specifications of the device that relate to audible feedback. e.g. voice prompts or beeps, but not safety related alarms which are covered under ""Protective Measures Problem"".","","Modified (editorial)","Editorial change to the term on 18 March 2020.","A09|A0901",,,
"A090101","Inappropriate Audible Prompt/Feedback","Problem with audible messages which do not guide a device user to the correct action.","","","","A09|A0901|A090101",,,
"A090102","Inaudible or Unclear Audible Prompt/Feedback","Problem associated with audible prompts which cannot be heard clearly.","","","","A09|A0901|A090102",,,
"A090103","No Audible Prompt/Feedback","Problem associated with the device ceasing to provide audible prompts.","","","","A09|A0901|A090103",,,
"A0902","Display or Visual Feedback Problem","Problem with any deviation from the documented specifications of the device that relate to visual feedback. e.g. the display of information, images on a screen, or output from the device.","","","","A09|A0902",,,
"A090201","Device Displays Incorrect Message","Problem associated with providing incorrect display information.","","","","A09|A0902|A090201",,,
"A090202","Display Difficult to Read","Problem associated with legibility of the display, compromising for instance  the reading/interpretation of patient parameters or test results. Legibility problems can be due to color, size of font, display screen contrast or other factors.","","","","A09|A0902|A090202",,,
